"id"	"userId"	"productId"	"price"	"quantity"	"statusC"
"1"	"1"	"1"	"50.99"	"2"	"1"
"2"	"2"	"2"	"35.75"	"3"	"1"
"3"	"3"	"3"	"20.5"	"1"	"1"
"4"	"4"	"4"	"45"	"2"	"1"
"5"	"5"	"5"	"15.99"	"1"	"1"
"6"	"6"	"1"	"50.99"	"2"	"1"
"7"	"7"	"2"	"35.75"	"3"	"1"
"8"	"8"	"3"	"20.5"	"1"	"1"
"9"	"9"	"4"	"45"	"2"	"1"
"10"	"10"	"5"	"15.99"	"1"	"1"
"11"	"1"	"1"	"50.99"	"2"	"1"
"12"	"2"	"2"	"35.75"	"3"	"1"
"13"	"3"	"3"	"20.5"	"1"	"1"
"14"	"4"	"4"	"45"	"2"	"1"
"15"	"5"	"5"	"15.99"	"1"	"1"
"16"	"6"	"1"	"50.99"	"2"	"1"
"17"	"7"	"2"	"35.75"	"3"	"1"
"18"	"8"	"3"	"20.5"	"1"	"1"
"19"	"9"	"4"	"45"	"2"	"1"
"20"	"10"	"5"	"15.99"	"1"	"1"
"21"	"1"	"1"	"50.99"	"2"	"1"
"22"	"2"	"2"	"35.75"	"3"	"1"
"23"	"3"	"3"	"20.5"	"1"	"1"
"24"	"4"	"4"	"45"	"2"	"1"
"25"	"5"	"5"	"15.99"	"1"	"1"
"26"	"6"	"1"	"50.99"	"2"	"1"
"27"	"7"	"2"	"35.75"	"3"	"1"
"28"	"8"	"3"	"20.5"	"1"	"1"
"29"	"9"	"4"	"45"	"2"	"1"
"30"	"10"	"5"	"15.99"	"1"	"1"
