"id"	"nameC"	"parentId"	"statusC"	"createDate"	"updateDate"
"1"	"Châu Á"		"1"	"3/12/2023 09:12:16"	"3/12/2023 09:12:16"
"2"	"Châu Âu"		"1"	"3/12/2023 09:12:16"	"3/12/2023 09:12:16"
"3"	"Châu Phi"		"1"	"3/12/2023 09:12:16"	"3/12/2023 09:12:16"
"4"	"Châu Mỹ"		"1"	"3/12/2023 09:12:16"	"3/12/2023 09:12:16"
"5"	"Châu Đại Dương"		"1"	"3/12/2023 09:12:16"	"3/12/2023 09:12:16"
"6"	"á1"	"1"	"1"	"3/12/2023 09:12:16"	"3/12/2023 09:12:16"
"7"	"á2"	"1"	"1"	"3/12/2023 09:12:16"	"3/12/2023 09:12:16"
"8"	"âu1"	"2"	"1"	"3/12/2023 09:12:16"	"3/12/2023 09:12:16"
"9"	"âu2"	"2"	"1"	"3/12/2023 09:12:16"	"3/12/2023 09:12:16"
"10"	"phi1"	"3"	"1"	"3/12/2023 09:12:16"	"3/12/2023 09:12:16"
"11"	"phi2"	"3"	"1"	"3/12/2023 09:12:16"	"3/12/2023 09:12:16"
"12"	"mỹ1"	"4"	"1"	"3/12/2023 09:12:16"	"3/12/2023 09:12:16"
"13"	"mỹ2"	"4"	"1"	"3/12/2023 09:12:16"	"3/12/2023 09:12:16"
"14"	"dd1"	"5"	"1"	"3/12/2023 09:12:16"	"3/12/2023 09:12:16"
"15"	"dd2"	"5"	"1"	"3/12/2023 09:12:16"	"3/12/2023 09:12:16"
"16"	"Châu Á"		"1"	"3/12/2023 09:16:34"	"3/12/2023 09:16:34"
"17"	"Châu Âu"		"1"	"3/12/2023 09:16:34"	"3/12/2023 09:16:34"
"18"	"Châu Phi"		"1"	"3/12/2023 09:16:34"	"3/12/2023 09:16:34"
"19"	"Châu Mỹ"		"1"	"3/12/2023 09:16:34"	"3/12/2023 09:16:34"
"20"	"Châu Đại Dương"		"1"	"3/12/2023 09:16:34"	"3/12/2023 09:16:34"
