"id"	"nameP"	"image"	"price"	"quantity"	"description"	"statusP"	"categoryId"	"createDate"	"updateDate"
"1"	"Product 1"	"image1.jpg"	"20.5"	"100"	"Description 1"	"1"	"1"	"3/12/2023 09:12:26"	"3/12/2023 09:12:26"
"2"	"Product 2"	"image2.jpg"	"30.75"	"80"	"Description 2"	"1"	"2"	"3/12/2023 09:12:26"	"3/12/2023 09:12:26"
"3"	"Product 3"	"image3.jpg"	"15.99"	"120"	"Description 3"	"1"	"3"	"3/12/2023 09:12:26"	"3/12/2023 09:12:26"
"4"	"Product 4"	"image4.jpg"	"25"	"90"	"Description 4"	"1"	"1"	"3/12/2023 09:12:26"	"3/12/2023 09:12:26"
"5"	"Product 5"	"image5.jpg"	"18.25"	"110"	"Description 5"	"1"	"2"	"3/12/2023 09:12:26"	"3/12/2023 09:12:26"
"6"	"Product 6"	"image6.jpg"	"22"	"95"	"Description 6"	"1"	"3"	"3/12/2023 09:12:26"	"3/12/2023 09:12:26"
"7"	"Product 7"	"image7.jpg"	"40.5"	"75"	"Description 7"	"1"	"1"	"3/12/2023 09:12:26"	"3/12/2023 09:12:26"
"8"	"Product 8"	"image8.jpg"	"28.99"	"105"	"Description 8"	"1"	"2"	"3/12/2023 09:12:26"	"3/12/2023 09:12:26"
"9"	"Product 9"	"image9.jpg"	"33.75"	"88"	"Description 9"	"1"	"3"	"3/12/2023 09:12:26"	"3/12/2023 09:12:26"
"10"	"Product 10"	"image10.jpg"	"19"	"115"	"Description 10"	"1"	"1"	"3/12/2023 09:12:26"	"3/12/2023 09:12:26"
"11"	"Product 1"	"image1.jpg"	"20.5"	"100"	"Description 1"	"1"	"1"	"3/12/2023 09:16:34"	"3/12/2023 09:16:34"
"12"	"Product 2"	"image2.jpg"	"30.75"	"80"	"Description 2"	"1"	"2"	"3/12/2023 09:16:34"	"3/12/2023 09:16:34"
"13"	"Product 3"	"image3.jpg"	"15.99"	"120"	"Description 3"	"1"	"3"	"3/12/2023 09:16:34"	"3/12/2023 09:16:34"
"14"	"Product 4"	"image4.jpg"	"25"	"90"	"Description 4"	"1"	"1"	"3/12/2023 09:16:34"	"3/12/2023 09:16:34"
"15"	"Product 5"	"image5.jpg"	"18.25"	"110"	"Description 5"	"1"	"2"	"3/12/2023 09:16:34"	"3/12/2023 09:16:34"
"16"	"Product 6"	"image6.jpg"	"22"	"95"	"Description 6"	"1"	"3"	"3/12/2023 09:16:34"	"3/12/2023 09:16:34"
"17"	"Product 7"	"image7.jpg"	"40.5"	"75"	"Description 7"	"1"	"1"	"3/12/2023 09:16:34"	"3/12/2023 09:16:34"
"18"	"Product 8"	"image8.jpg"	"28.99"	"105"	"Description 8"	"1"	"2"	"3/12/2023 09:16:34"	"3/12/2023 09:16:34"
"19"	"Product 9"	"image9.jpg"	"33.75"	"88"	"Description 9"	"1"	"3"	"3/12/2023 09:16:34"	"3/12/2023 09:16:34"
"20"	"Product 10"	"image10.jpg"	"19"	"115"	"Description 10"	"1"	"1"	"3/12/2023 09:16:34"	"3/12/2023 09:16:34"
"21"	"Product 1"	"image1.jpg"	"20.5"	"100"	"Description 1"	"1"	"1"	"3/12/2023 09:31:58"	"3/12/2023 09:31:58"
"22"	"Product 2"	"image2.jpg"	"30.75"	"80"	"Description 2"	"1"	"2"	"3/12/2023 09:31:58"	"3/12/2023 09:31:58"
"23"	"Product 3"	"image3.jpg"	"15.99"	"120"	"Description 3"	"1"	"3"	"3/12/2023 09:31:58"	"3/12/2023 09:31:58"
"24"	"Product 4"	"image4.jpg"	"25"	"90"	"Description 4"	"1"	"1"	"3/12/2023 09:31:58"	"3/12/2023 09:31:58"
"25"	"Product 5"	"image5.jpg"	"18.25"	"110"	"Description 5"	"1"	"2"	"3/12/2023 09:31:58"	"3/12/2023 09:31:58"
"26"	"Product 6"	"image6.jpg"	"22"	"95"	"Description 6"	"1"	"3"	"3/12/2023 09:31:58"	"3/12/2023 09:31:58"
"27"	"Product 7"	"image7.jpg"	"40.5"	"75"	"Description 7"	"1"	"1"	"3/12/2023 09:31:58"	"3/12/2023 09:31:58"
"28"	"Product 8"	"image8.jpg"	"28.99"	"105"	"Description 8"	"1"	"2"	"3/12/2023 09:31:58"	"3/12/2023 09:31:58"
