"id"	"productId"	"tagId"
"1"	"1"	"1"
"2"	"1"	"2"
"3"	"2"	"3"
"4"	"2"	"4"
"5"	"3"	"5"
"6"	"3"	"6"
"7"	"4"	"7"
"8"	"4"	"8"
"9"	"5"	"9"
"10"	"5"	"10"
"11"	"1"	"1"
"12"	"1"	"2"
"13"	"2"	"3"
"14"	"2"	"4"
"15"	"3"	"5"
"16"	"3"	"6"
"17"	"4"	"7"
"18"	"4"	"8"
"19"	"5"	"9"
"20"	"5"	"10"
"21"	"1"	"1"
"22"	"1"	"2"
"23"	"2"	"3"
"24"	"2"	"4"
"25"	"3"	"5"
"26"	"3"	"6"
"27"	"4"	"7"
"28"	"4"	"8"
"29"	"5"	"9"
"30"	"5"	"10"
"31"	"1"	"1"
"32"	"1"	"2"
"33"	"2"	"3"
"34"	"2"	"4"
"35"	"3"	"5"
"36"	"3"	"6"
"37"	"4"	"7"
"38"	"4"	"8"
"39"	"5"	"9"
"40"	"5"	"10"
"41"	"1"	"1"
"42"	"1"	"2"
"43"	"2"	"3"
"44"	"2"	"4"
"45"	"3"	"5"
"46"	"3"	"6"
"47"	"4"	"7"
"48"	"4"	"8"
"49"	"5"	"9"
"50"	"5"	"10"
